latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-73.89206,2.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°F),rain_sum (mm),precipitation_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h)
2001-01-01,3,16.9,0.00,0.00,0.00,0.0,9.0
2001-01-02,3,12.4,0.00,0.00,0.00,0.0,8.3
2001-01-03,3,11.7,0.00,0.00,0.00,0.0,6.9
2001-01-04,3,16.3,0.00,0.00,0.00,0.0,8.1
2001-01-05,73,21.5,0.00,4.30,3.01,8.0,7.7
2001-01-06,3,24.9,0.00,0.00,0.00,0.0,9.3
2001-01-07,3,24.8,0.00,0.00,0.00,0.0,6.9
2001-01-08,73,28.5,2.70,5.10,1.68,9.0,7.2
2001-01-09,73,27.9,0.30,0.90,0.42,3.0,11.6
2001-01-10,3,22.4,0.00,0.00,0.00,0.0,11.4
2001-01-11,3,26.1,0.00,0.00,0.00,0.0,8.7
2001-01-12,3,26.5,0.00,0.00,0.00,0.0,8.7
2001-01-13,3,24.5,0.00,0.00,0.00,0.0,7.4
2001-01-14,3,30.2,0.00,0.00,0.00,0.0,7.6
2001-01-15,53,34.1,4.70,4.70,0.00,11.0,6.8
2001-01-16,51,35.7,0.30,0.30,0.00,1.0,11.3
2001-01-17,3,30.2,0.00,0.00,0.00,0.0,9.8
2001-01-18,71,30.5,0.20,0.90,0.56,6.0,6.1
2001-01-19,61,33.7,19.30,19.30,0.00,18.0,6.9
2001-01-20,73,32.2,5.70,14.00,6.02,21.0,13.2
2001-01-21,75,23.4,0.10,11.20,7.84,11.0,15.1
2001-01-22,0,18.3,0.00,0.00,0.00,0.0,7.2
2001-01-23,1,23.5,0.00,0.00,0.00,0.0,7.4
2001-01-24,3,25.1,0.00,0.00,0.00,0.0,8.0
2001-01-25,71,28.3,0.00,0.00,0.07,0.0,10.8
2001-01-26,3,21.1,0.00,0.00,0.00,0.0,9.1
2001-01-27,71,29.1,0.10,0.50,0.42,3.0,12.1
2001-01-28,3,27.0,0.00,0.00,0.00,0.0,10.6
2001-01-29,3,27.0,0.00,0.00,0.00,0.0,6.7
2001-01-30,61,36.2,9.00,9.00,0.00,8.0,13.3
2001-01-31,2,37.1,0.00,0.00,0.00,0.0,15.2
2001-02-01,3,33.4,0.00,0.00,0.00,0.0,11.6
2001-02-02,53,34.1,1.80,1.80,0.00,6.0,14.5
2001-02-03,3,24.8,0.00,0.00,0.00,0.0,14.8
2001-02-04,3,28.3,0.00,0.00,0.00,0.0,8.3
2001-02-05,75,31.8,6.70,28.00,14.91,15.0,16.5
2001-02-06,71,34.6,0.00,0.00,0.07,0.0,14.1
2001-02-07,3,30.6,0.00,0.00,0.00,0.0,8.7
2001-02-08,3,28.3,0.00,0.00,0.00,0.0,7.6
2001-02-09,3,39.3,0.00,0.00,0.00,0.0,11.5
2001-02-10,53,41.6,1.60,1.60,0.00,3.0,18.9
2001-02-11,0,24.5,0.00,0.00,0.00,0.0,15.1
2001-02-12,3,23.1,0.00,0.00,0.00,0.0,8.4
2001-02-13,73,35.8,0.00,1.50,1.05,5.0,7.5
2001-02-14,51,36.5,1.30,1.30,0.00,4.0,6.9
2001-02-15,3,40.2,0.00,0.00,0.00,0.0,8.3
2001-02-16,61,33.8,7.50,7.50,0.00,12.0,5.2
2001-02-17,53,31.2,1.70,1.70,0.00,5.0,21.1
2001-02-18,1,23.8,0.00,0.00,0.00,0.0,13.1
2001-02-19,3,30.0,0.00,0.00,0.00,0.0,12.9
2001-02-20,51,40.7,0.20,0.20,0.00,1.0,8.1
2001-02-21,2,35.6,0.00,0.00,0.00,0.0,14.6
