Borough Code,DOT street name,CSCL street name,PHYSICALID
4,79 street,79 st,31960.0
4,79 street,79 st,93205.0
4,79 street,79 st,71647.0
4,79 street,79 st,71644.0
4,79 street,79 st,32777.0
4,79 street,79 st,32769.0
4,79 street,79 st,32778.0
4,79 street,79 st,83683.0
4,79 street,79 st,80666.0
4,79 street,79 st,81472.0
4,79 street,79 st,80689.0
4,79 street,79 st,71648.0
4,79 street,79 st,31784.0
4,79 street,79 st,32774.0
4,79 street,79 st,80685.0
4,79 street,79 st,80687.0
4,79 street,79 st,80688.0
4,79 street,79 st,200792.0
4,79 street,79 st,81475.0
4,79 street,79 st,81476.0
4,79 street,79 st,32783.0
4,79 street,79 st,81469.0
4,79 street,79 st,83842.0
4,79 street,79 st,32784.0
4,79 street,79 st,83388.0
4,79 street,79 st,93204.0
4,79 street,79 st,32775.0
4,79 street,79 st,31961.0
4,79 street,79 st,32780.0
4,79 street,79 st,83685.0
4,79 street,79 st,83845.0
4,79 street,79 st,71646.0
4,79 street,79 st,71645.0
4,79 street,79 st,32772.0
4,79 street,79 st,32771.0
4,79 street,79 st,83389.0
4,79 street,79 st,80683.0
4,79 street,79 st,80684.0
4,79 street,79 st,32773.0
4,79 street,79 st,32776.0
4,79 street,79 st,31785.0
4,79 street,79 st,180993.0
4,79 street,79 st,32770.0
4,79 street,79 st,80667.0
4,79 street,79 st,80690.0
4,79 street,79 st,172208.0
4,79 street,79 st,81470.0
4,79 street,79 st,83386.0
4,79 street,79 st,81471.0
4,79 street,79 st,81473.0
4,79 street,79 st,32782.0
4,79 street,79 st,83843.0
4,79 street,79 st,32781.0
4,79 street,79 st,83844.0
4,79 street,79 st,109796.0
4,79 street,79 st,83866.0
4,79 street,79 st,83684.0
4,79 street,79 st,83686.0
4,79 street,79 st,32779.0
4,79 street,79 st,81474.0
4,79 street,79 st,83387.0
4,79 street,79 st,80665.0
4,79 street,79 st,93203.0
4,73 place,73 pl,30537.0
4,73 place,73 pl,194779.0
4,73 place,73 pl,12521.0
4,73 place,73 pl,30546.0
4,73 place,73 pl,30541.0
4,73 place,73 pl,30547.0
4,73 place,73 pl,30545.0
4,73 place,73 pl,93328.0
4,73 place,73 pl,100165.0
4,73 place,73 pl,12522.0
4,73 place,73 pl,30536.0
4,73 place,73 pl,204683.0
4,73 place,73 pl,30543.0
4,73 place,73 pl,12524.0
