,normalized_street_name,Vol
0,1-1 avenue,221.77408354646207
1,1-10 avenue,70.39300411522633
2,1-11 avenue,152.7365107913669
3,1-12 avenue,662.8477564102565
4,1-145 street bridge,191.388720666162
5,1-2 avenue,375.17910447761193
6,1-3 avenue,183.48497854077254
8,1-5 avenue,255.8827106863597
9,1-6 avenue,371.21085164835165
10,1-7 avenue,379.59455128205127
11,1-79 street transverse,141.03846153846155
12,1-8 avenue,433.9120879120879
13,1-9 avenue,65.90198511166253
14,1-97 street transverse,177.77692307692308
15,1-adam c powell boulevard,90.19975186104219
16,1-alexander hamilton bridge,871.9080370942813
17,1-allen street,80.67307692307692
18,1-amsterdam avenue,117.21785714285714
19,1-audubon avenue,23.990384615384617
20,1-avenue b,13.201923076923077
21,1-broadway,146.21442125237192
22,1-broadway bridge,199.49439102564102
23,1-brooklyn bridge,737.8325581395349
24,1-c p 7 avenue approach,28.21153846153846
25,1-canal street,173.62998405103667
26,1-cbe sb entrance washington brdg,106.56190476190476
27,1-central park north,43.99862637362637
28,1-central park south,115.08843537414965
29,1-central park west,124.148244473342
30,1-centre street,157.74193548387098
31,1-chatham square,106.21153846153847
32,1-chrystie street,128.82780410742495
33,1-clinton street,131.01442307692307
34,1-columbia street,40.644444444444446
35,1-columbus avenue,224.46814159292035
36,1-cpw 72 approach,10.645833333333334
37,1-cross bronx expwy nb et 1 b,111.94791666666667
38,1-delancey street,249.33093525179856
39,1-desbrosses street,21.233333333333334
40,1-dyckman street,79.59935897435898
41,1-east 116 street,64.27136752136752
42,1-east 125 street,31.11111111111111
43,1-east 14 street,13.961538461538462
44,1-east 16 street,33.5
45,1-east 23 street,121.07692307692308
46,1-east 25 street,19.81081081081081
47,1-east 34 street,129.54326923076923
48,1-east 36 street,140.90384615384616
49,1-east 49 street,140.27403846153845
50,1-east 50 street,81.85576923076923
51,1-east 57 street,124.0
52,1-east 58 street,92.41153846153846
53,1-east 59 street,109.5576923076923
54,1-east 60 street,162.69230769230768
55,1-east 72 street,41.532051282051285
56,1-east 96 street,212.82051282051282
57,1-east broadway,87.49038461538461
58,1-east houston street,183.16369455875628
59,1-ed koch queensboro bridge,168.29072398190044
60,1-ed koch queensboro bridge appr,437.9102564102564
61,1-ed koch queensboro bridge exit,385.53846153846155
62,1-edgecombe avenue,52.55769230769231
63,1-f d r drive,795.0692307692308
64,1-fdr drive exit 7 northbound,7.323717948717949
65,1-frederick douglass boulevard,60.964285714285715
66,1-greenwich street,6.111111111111111
67,1-henry hudson parkway,863.9313186813187
68,1-henry hudson parkway exit nb,143.88736263736263
69,1-hudson street,160.44174757281553
70,1-lafayette street,85.94505494505495
71,1-lexington avenue,189.0907944514502
72,1-liberty street,49.857142857142854
73,1-macombs dam bridge,249.21550255536627
74,1-madison avenue,201.31725888324874
75,1-madison avenue bridge,265.8771773112997
76,1-madison street,66.56346153846154
77,1-manhattan avenue,12.336538461538462
78,1-manhattan bridge,270.4058209774849
79,1-morningside avenue,51.21153846153846
80,1-morningside drive,22.653846153846153
81,1-park avenue,230.40861344537817
82,1-park row,18.283653846153847
83,1-pearl street,132.44230769230768
84,1-pike street,80.10576923076923
85,1-pitt street,45.104395604395606
86,1-pleasant avenue,39.49759615384615
87,1-riverside drive west,283.5
88,1-roosevelt is bridge,71.13568521031208
89,1-south street,46.57177177177177
90,1-spring street,90.43137254901961
91,1-street james place,87.65865384615384
92,1-sutton place,81.96153846153847
93,1-terrace drive,8.318787878787878
94,1-university heights bridge,233.67356377799416
95,1-wadsworth avenue,39.89390243902439
96,1-water street,134.0
97,1-west 112 street,23.384615384615383
98,1-west 121 street,16.884615384615383
99,1-west 125 street,116.94354838709677
100,1-west 143 street,19.623076923076923
101,1-west 145 street,125.01923076923077
102,1-west 155 street,178.89529914529913
103,1-west 156 street,19.724358974358974
104,1-west 165 street,102.95146818923328
105,1-west 167 street,12.164835164835164
106,1-west 176 street,37.074175824175825
107,1-west 177 street,35.93131868131868
108,1-west 178 street,224.31632653061226
109,1-west 179 street,77.34020618556701
110,1-west 181 street,60.86538461538461
111,1-west 182 street,33.421875
112,1-west 207 street,0.9041666666666667
113,1-west 212 street,8.48076923076923
114,1-west 219 street,7.065384615384615
115,1-west 220 street,23.453846153846154
116,1-west 225 street,63.61662198391421
117,1-west 26 street,93.48717948717949
118,1-west 29 street,85.76923076923077
119,1-west 34 street,285.7307692307692
120,1-west 35 street,65.96994535519126
121,1-west 37 street,71.85964912280701
122,1-west 42 street,110.92994505494505
123,1-west 53 street,93.70726495726495
124,1-west 57 street,148.4875
125,1-west 58 street,129.0
126,1-west 59 street,34.33894230769231
127,1-west 62 street,64.5
128,1-west 65 street,58.175
129,1-west 72 street,85.25
130,1-west 96 street,112.67307692307692
131,1-west end avenue,112.4466221851543
132,1-west street,417.2307692307692
133,1-williamsburg br approach,513.6241258741259
134,1-williamsburg bridge,582.4903846153846
135,1-willis avenue bridge,406.5041916167665
136,1-worth street,77.53846153846153
137,1-york avenue,149.85367545076284
138,2-145 street bridge approach,215.54807692307693
139,2-3 avenue,137.65625
140,2-3 avenue bridge,266.4380324264908
141,2-adams place,22.342995169082126
142,2-allerton avenue,96.07518796992481
143,2-anderson avenue,54.65365853658537
144,2-barretto street,62.089622641509436
145,2-bartow avenue,135.0130260521042
146,2-bedford park boulevard,62.24786324786325
147,2-boston road,155.18346007604563
148,2-broadway,101.82371794871794
149,2-bronx river avenue,117.28846153846153
150,2-bronx river parkway,700.4414029084688
151,2-bronx river shoreline,423.45454545454544
152,2-bronxdale avenue,92.71111111111111
153,2-bronxwood avenue,19.858156028368793
154,2-brook avenue,37.43814432989691
155,2-bruckner boulevard,177.1870709382151
156,2-burke avenue,45.30769230769231
157,2-city is bridge,121.15879534565366
158,2-clay avenue,36.49862637362637
159,2-concord avenue,9.526098901098901
160,2-concourse line,6.166666666666667
161,2-courtlandt avenue,48.6510989010989
162,2-cross bronx ep sb en jerome avenue,194.91758241758242
163,2-cross bronx expressway,889.9375
164,2-cross bronx expressway sr north,7.4653846153846155
165,2-cross bronx expwy et 2 a wb,84.77458033573141
166,2-cross bx svc road north,119.66283524904215
167,2-depot place,57.41540785498489
