the_geom,PHYSICALID,L_LOW_HN,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,STATUS,BIKE_LANE,TRAFDIR,RW_TYPE,PRE_TYPE,POST_TYPE,OBJECTID,FCC,Left side Block Face ID,Right Side Block Face ID,Average Travel Time,Roadway Jurisdiction,NOMINALDIR,ACCESSIBLE,NONPED,Borough Code,Borough Indicator,Segloc Status,San District Inc,Left Side Subset,Right Side Subset,Continuous Parity Flag,Twisted Parity Flag,Posted Speed,Segment Length,Street Width,Street Width IRR,Special Disaster,Fire Lane,CREATED_DATE,MODIFIED_DATE,WITHIN_BNDY_DIST,TRUCK ROUTE TYPE,Collection Method,FROM_LEVEL_CODE,TO_LEVEL_CODE,B5SC,Snow Priority,JOINID,BPHYS_ID,Cartography Display Level,Number Travel Lanes,Number Park Lanes,Number Total Lane,Pre-Modifier,Pre-Directional,Post Directional,Post Modifier,Full Street Name,BIKE TRAFFIC DIRECTION,SHAPE__Length,GlobalID,SEGMENT_TYPE,SEGMENT_TYPE_VALUE,STREET NAME,Street Name Label,nearest_station,normalized_street_name,in_dot_dataset
"MULTILINESTRING ((-73.733850631244 40.739273557049, -73.734018135888 40.739209364653, -73.734345653219 40.739088227336, -73.734457114909 40.739050609346, -73.734701958205 40.738988785676, -73.735222321122 40.738885262655, -73.735280504257 40.738873856468))",126470,,,,,11427.0,11427.0,2,1.0,NV,6,,,100919,,,,,,,,D,4,,,,,,,N,,,0.0,,,,04/17/2011 11:24:24 AM +0000,04/19/2018 03:18:04 PM +0000,,,,13,13,400097,,,,,0.0,0.0,0.0,,,,,VANDERBILT MOTOR PARKWAY,TW,170.35981064714565,435a31c4-9c88-4c0b-8402-c723679bfd14,,,VANDERBILT MOTOR PARKWAY,VANDERBILT MOTOR PARKWAY,3,4-vanderbilt motor parkway,False
"MULTILINESTRING ((-73.85583580769 40.723630071141, -73.855727176783 40.723807992632, -73.855699442974 40.723853416155))",197684,,,,,11374.0,11374.0,2,,NV,3,,,130681,,,,,,,,,4,,X,,2D,2D,,N,,89.72179541,,,,,11/29/2007 12:00:00 AM +0000,10/31/2022 04:43:37 PM +0000,,,,17,13,458713,V,,,,,,,,,,,67 AVE FOOTBRIDGE,,36.14805465674185,a7465a59-8723-4561-a9a3-4310a34debe9,,,67 AVE FOOTBRIDGE,67 AVE FOOTBRIDGE,4,4-67 avenue footbridge,False
"MULTILINESTRING ((-74.066328655125 40.58979644273, -74.067282555852 40.588943397891))",176128,,,,,10305.0,10305.0,2,1.0,NV,6,,,112679,,,,,3.0,,,D,5,,,,,,,N,,350.66344087,,,,,03/28/2011 05:33:37 PM +0000,04/19/2018 03:18:04 PM +0000,,,,13,13,500233,,,,,,,,,,,,SOUTH BEACH GREENWAY,TW,164.05139318894427,50c7f988-768b-4f96-b7e8-946b7fcb983b,,,SOUTH BEACH GREENWAY,SOUTH BEACH GREENWAY,6,5-south beach greenway,False
"MULTILINESTRING ((-74.012904089531 40.702157081187, -74.012797031616 40.701756991868), (-74.012797031616 40.701756991868, -74.012795455256 40.701754121391, -74.012793775383 40.701751285123, -74.012791993275 40.701748485227), (-74.012791993275 40.701748485227, -74.012786223712 40.701740545151, -74.012779633532 40.701732984051, -74.012772265456 40.701725850941, -74.012764167245 40.701719192062, -74.012755391397 40.701713050578), (-74.012755391397 40.701713050578, -74.012746514748 40.701706866094, -74.012738356841 40.701700132649, -74.012730976082 40.701692898452, -74.012724425312 40.701685215294, -74.012718751431 40.70167713818, -74.012713995059 40.701668724938), (-74.012713995059 40.701668724938, -74.012671573776 40.701545163534))",176758,,,,,10004.0,10004.0,2,1.0,NV,6,,,112979,,,,,,,,D,1,,,,,,,N,,,,,,,05/18/2011 11:32:59 AM +0000,04/19/2018 03:17:43 PM +0000,,,,13,13,100736,,,,,,,,,,,,PETER MINUIT PLAZA GREENWAY,TW,94.77249269657248,3804f0d0-7077-4272-9ed4-4655b157e052,,,PETER MINUIT PLAZA GREENWAY,PETER MINUIT PLAZA GREENWAY,1,1-peter minuit plaza greenway,False
"MULTILINESTRING ((-73.998951114141 40.67485245907, -73.99913571444 40.674467193394, -73.999142644888 40.674452379967, -73.99915668489 40.674422320891))",109322,,,,,11231.0,11231.0,2,,TW,10,,,98800,,,,,,,,,3,,I,,1D,1D,,N,,166.76418141,,,,,11/29/2007 12:00:00 AM +0000,02/05/2016 11:10:01 AM +0000,,,,13,13,312025,,,,,,,,,,,,ALLEY,,67.15421809340508,3d6df5e4-3213-4fe9-831a-2fbf75fed58e,,,ALLEY,ALLEY,1,3-alley,False
"MULTILINESTRING ((-73.790139519751 40.58842121443, -73.791020263593 40.588199633204))",75797,61-001,61-099,61-000,61-098,11692.0,11692.0,2,1.0,NV,5,,,68915,,,,,,,,D,4,,,,2E,2E,,N,,257.59864762,,,,,11/29/2007 12:00:00 AM +0000,04/19/2018 02:58:37 PM +0000,,,,13,13,436290,,,,,,,,,,,,BOARDWALK,TW,103.28427625349772,b0691d0f-36e0-4abf-a694-8994db9eb366,,,BOARDWALK,BOARDWALK,3,4-boardwalk,False
"MULTILINESTRING ((-74.168424425098 40.587699210704, -74.168480206171 40.587510899949, -74.168743420464 40.586545542346, -74.168899165903 40.585498166569, -74.169667800341 40.580570676567, -74.169958051364 40.577967206825, -74.170123956708 40.575626010677, -74.170287967141 40.572546195964, -74.170097106232 40.57072685055, -74.169930837122 40.570725768793))",191858,,,,,10314.0,10314.0,2,1.0,NV,6,,,118987,,,,,,,,,5,,,,,,,N,,5401.9147644,,,,,08/12/2016 03:04:53 PM +0000,11/01/2021 11:18:49 AM +0000,,,,13,13,500230,,,,,,,,,,,,NEW SPRINGVILLE GREENWAY,TW,2518.9093986573416,d517826e-ac61-4fef-b5bf-fdd2220687f2,,,NEW SPRINGVILLE GREENWAY,NEW SPRINGVILLE GREENWAY,6,5-new springville greenway,False
"MULTILINESTRING ((-73.918061083404 40.556465970734, -73.91807978823 40.556319189511))",107854,,,,,11697.0,11697.0,2,,TW,10,,,97379,,,,,,,,,4,,H,,1F,1F,,N,,53.72796063,,,,,11/29/2007 12:00:00 AM +0000,04/24/2017 11:49:50 AM +0000,,,,13,13,413170,,,,,,0.0,,,,,,ALLEY,,21.606663114947988,206bd1cd-a0c7-47b5-a6bb-c0aec25292a5,,,ALLEY,ALLEY,2,4-alley,False
"MULTILINESTRING ((-73.87693568168 40.771253586153, -73.876039427325 40.771374602288))",195563,,,,,11369.0,11369.0,2,,FT,9,,,121399,,102266636.0,102266642.0,,,,,V,4,,,,1C,1C,,N,,,24.0,,,,05/25/2022 01:04:07 PM +0000,06/02/2022 11:28:36 AM +0000,,,,13,13,410300,V,,,,2.0,0.0,2.0,,,,,GRAND CENTRAL PARKWAY ET 7 EB,,101.3439246938914,aedbea53-e786-4dca-92ae-976f56f382b2,,,GRAND CENTRAL PARKWAY ET 7 EB,GRAND CENTRAL PARKWAY ET 7 EB,4,4-grand central parkway et 7 eb,False
"MULTILINESTRING ((-73.865351661919 40.810749576078, -73.86545320178 40.810714979321, -73.865552725317 40.810677150939, -73.865650054473 40.810636158603), (-73.865650054473 40.810636158603, -73.865674302538 40.810628539176, -73.865699306989 40.810622493625, -73.865724891221 40.81061806465, -73.865750874535 40.810615283532, -73.865777073411 40.810614169914, -73.86580330281 40.810614731663, -73.865829377473 40.810616964809, -73.865855113239 40.810620853581, -73.865880328337 40.810626370512, -73.865904844673 40.810633476637), (-73.865904844673 40.810633476637, -73.865945512472 40.810639546641, -73.865986761144 40.810642608956, -73.866028206289 40.810642635044, -73.866069461677 40.810639624661), (-73.866069461677 40.810639624661, -73.866138759526 40.810647401176, -73.866206889399 40.810659775804, -73.866273323866 40.810676652743, -73.866337548616 40.810697901335, -73.866399066449 40.810723357078, -73.866457401119 40.8107528229, -73.866512101023 40.810786070684), (-73.866512101023 40.810786070684, -73.866556032712 40.810812340425, -73.866602659292 40.810835775765, -73.866651664814 40.810856217902, -73.866702717205 40.810873528321, -73.866755470526 40.810887589726, -73.866809567311 40.810898306836, -73.86686464099 40.81090560703), (-73.86686464099 40.81090560703, -73.866967563907 40.810924456028, -73.867070753066 40.810942445019, -73.867174196019 40.810959571834))",173957,,,,,10473.0,10473.0,2,1.0,NV,6,,,111757,,,,,,,,D,2,,,,,,,N,,543.05418047,,,,,06/17/2016 02:46:32 PM +0000,04/19/2018 03:18:04 PM +0000,,,,13,13,200178,,,,,,,,,,,,SOUNDVIEW PARK GREENWAY,TW,218.4453968661434,12c7e1d0-1225-4377-b560-69543f51f9a2,,,SOUNDVIEW PARK GREENWAY,SOUNDVIEW PARK GREENWAY,4,2-soundview park greenway,False
"MULTILINESTRING ((-73.935765130402 40.785454295671, -73.935330366342 40.785250525043))",134273,,,,,10022.0,10022.0,2,1.0,NV,3,,,102740,,,,,,,,,1,,,,,,,N,,221.911365,,,,,03/15/2008 12:00:00 AM +0000,04/19/2018 02:57:54 PM +0000,,,,17,13,197510,V,,,,,,,,E,,,E  103 STREET FOOTBRIDGE,TW,56.919824630474835,c403de5b-9523-46b7-970d-e288a5b0e933,,,103 STREET FOOTBRIDGE,E 103 STREET FOOTBRIDGE,4,1-east 103 street footbridge,False
"MULTILINESTRING ((-73.838831375947 40.843278104299, -73.838473631555 40.842896872687, -73.838414703952 40.842831207535), (-73.838414703952 40.842831207535, -73.838394522929 40.84281666345, -73.838372823428 40.842803440218, -73.83834975489 40.842791628907, -73.838325476182 40.842781310858, -73.838300154507 40.84277255713, -73.83827396425 40.842765428011), (-73.83827396425 40.842765428011, -73.838194609916 40.84267814311))",128936,,,,,10461.0,10461.0,2,1.0,NV,6,,,101414,,,,,,,,D,2,,,,,,,N,,,,,,,04/29/2011 06:31:03 PM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,200172,,,,,,,,,,,,HUTCHINSON RIVER GREENWAY,TW,114.6668523283245,b6fd780c-e1a8-4204-be83-16f48e0cd6e6,,,HUTCHINSON RIVER GREENWAY,HUTCHINSON RIVER GREENWAY,5,2-hutchinson river greenway,False
"MULTILINESTRING ((-73.931459504388 40.858981169708, -73.931387103113 40.859042172154, -73.931336568299 40.859188210146))",188866,,,,,10040.0,10040.0,2,,FT,1,,,117363,,,,,,,,,1,,,,,,,N,,107.90203793,,,,,08/12/2020 09:58:43 AM +0000,10/11/2022 09:47:18 AM +0000,,2.0,,13,13,113610,C,,,,,,,,,,,BROADWAY,,34.28408157057038,621cf6f5-d550-448f-a001-6e69941142f3,,,BROADWAY,BROADWAY,5,1-broadway,False
"MULTILINESTRING ((-74.07468853284 40.637734771011, -74.074897500491 40.637714920491))",196160,,,,,10301.0,10301.0,2,,NV,7,,,121041,,,,,,,,,5,,,,,,,N,,,,,,,03/18/2011 02:27:30 PM +0000,10/13/2023 01:59:52 PM +0000,,,,13,17,570265,V,,,,,,,,,,,VICTORY BLVD FOOTBRIDGE,,23.44372868735183,6043ceab-fd62-4d04-a093-1274fec77d61,,,VICTORY BLVD FOOTBRIDGE,VICTORY BLVD FOOTBRIDGE,6,5-victory boulevard footbridge,False
"MULTILINESTRING ((-73.864898730873 40.888370654025, -73.86460148512 40.888307990374))",176670,,,,,10467.0,10467.0,2,,NV,7,,,112943,,,,,,,,,2,,,,,,,N,,85.2998593,,,,,10/12/2016 02:53:57 PM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,200562,V,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,34.35171775674994,01787ff9-d7ca-4ed7-b567-f9f09df218a4,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,5,2-pedestrian and bike path link,False
"MULTILINESTRING ((-74.121240912595 40.624381478544, -74.121308034162 40.624402615056, -74.121317862325 40.624406197677, -74.121337446928 40.624413336524, -74.121366801185 40.624424039954, -74.121420737329 40.624441047329, -74.12149435176 40.624451280626, -74.12150517459 40.624452783146, -74.121565638158 40.6244554471, -74.121565792303 40.624455455648, -74.121619182708 40.624464809446))",66639,,,,,,,2,1.0,NV,6,,,60594,,,,,,,,D,5,,,,,,,N,,,,,,,06/16/2009 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,44.26345509038568,3387b1ea-fabf-4d5a-9c57-e0c3d7503305,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-74.105175000841 40.616902766, -74.105240768216 40.616695180588, -74.105246449385 40.616685782705, -74.105296542983 40.616602979173, -74.105358149122 40.616529385696, -74.105443354896 40.616448873036, -74.105484373112 40.616418802979))",66716,,,,,,,2,1.0,NV,6,,,60671,,,,,,,,D,5,,,,,,,N,,200.07776356,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,80.46928364369522,2369af09-4d0a-4cde-803b-bd7e44a50864,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-73.757979417381 40.592323752356, -73.758818322785 40.592243226124, -73.759601851666 40.592167611372))",75774,25-001,26-099,25-000,26-098,11691.0,11691.0,2,1.0,NV,5,,,68892,,,,,,,,D,4,,,,2D,2D,,N,,234.82804252,,,,,11/29/2007 12:00:00 AM +0000,04/19/2018 02:58:16 PM +0000,,,,13,13,436290,,,,,,,,,,,,BOARDWALK,TW,182.053275270736,21d78a02-bd3c-4c05-a0e7-79c0d24087f3,,,BOARDWALK,BOARDWALK,3,4-boardwalk,False
"MULTILINESTRING ((-73.892023075815 40.818748032992, -73.891084088856 40.819674400221, -73.890812444855 40.819948421072, -73.890684823773 40.820069767785, -73.890607820482 40.820141026171))",195359,,,,,10459.0,10459.0,2,1.0,NV,6,,,121461,,,,,,,,,2,,,,,,,N,,648.54148653,,,,,03/29/2017 03:57:16 PM +0000,09/27/2023 11:49:43 AM +0000,,,,13,13,200557,,,,,,,,,,,,BRUCKNER BOULEVARD BIKE PATH,TW,258.48345596425537,83e84734-caad-4c48-99e0-3fcd5adb8350,,,BRUCKNER BOULEVARD BIKE PATH,BRUCKNER BOULEVARD BIKE PATH,5,2-bruckner boulevard bike path,False
