the_geom,PHYSICALID,L_LOW_HN,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,STATUS,BIKE_LANE,TRAFDIR,RW_TYPE,PRE_TYPE,POST_TYPE,OBJECTID,FCC,Left side Block Face ID,Right Side Block Face ID,Average Travel Time,Roadway Jurisdiction,NOMINALDIR,ACCESSIBLE,NONPED,Borough Code,Borough Indicator,Segloc Status,San District Inc,Left Side Subset,Right Side Subset,Continuous Parity Flag,Twisted Parity Flag,Posted Speed,Segment Length,Street Width,Street Width IRR,Special Disaster,Fire Lane,CREATED_DATE,MODIFIED_DATE,WITHIN_BNDY_DIST,TRUCK ROUTE TYPE,Collection Method,FROM_LEVEL_CODE,TO_LEVEL_CODE,B5SC,Snow Priority,JOINID,BPHYS_ID,Cartography Display Level,Number Travel Lanes,Number Park Lanes,Number Total Lane,Pre-Modifier,Pre-Directional,Post Directional,Post Modifier,Full Street Name,BIKE TRAFFIC DIRECTION,SHAPE__Length,GlobalID,SEGMENT_TYPE,SEGMENT_TYPE_VALUE,STREET NAME,Street Name Label,nearest_station,normalized_street_name,in_dot_dataset
"MULTILINESTRING ((-73.925899194344 40.798813667518, -73.92627345966 40.798548993903), (-73.92627345966 40.798548993903, -73.926330575388 40.798483374931, -73.92638027262 40.798414357033, -73.926422203421 40.7983424234, -73.926456074229 40.79826807764, -73.92648164791 40.798191840247, -73.926498745422 40.798114244961, -73.926507247061 40.798035835032, -73.926507093307 40.797957159415))",134995,,,,,10035.0,10035.0,2,1.0,NV,6,,,102835,,1322603136.0,1322600764.0,,,,,D,1,,,,,,,N,,,20.0,,,,06/03/2011 07:26:11 PM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,100236,,,,,1.0,0.0,1.0,,,,,RANDALLS ISLAND GREENWAY,TW,149.52840690289133,573f877d-f75e-45b3-a094-fa9509707175,,,RANDALLS ISLAND GREENWAY,RANDALLS ISLAND GREENWAY,4,1-randalls island greenway,False
"MULTILINESTRING ((-74.065504074641 40.590216911588, -74.065376921744 40.590133495909, -74.065194682124 40.590315608393, -74.065255080264 40.5903554528, -74.065110351302 40.590491530388, -74.064864821702 40.590349670357))",176859,,,,,10305.0,10305.0,2,,NV,6,,,113022,,,,,3.0,,,D,5,,,,,,,N,,350.66344087,,,,,03/28/2011 04:11:01 PM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,500254,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,121.12661698231408,b1e2523f-c7eb-4d53-b4d0-a96e6c2630ff,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,6,5-pedestrian and bike path link,False
"MULTILINESTRING ((-73.971082887902 40.626561932152, -73.970985921829 40.626055088586))",124065,,,,,11230.0,11230.0,2,1.0,NV,6,,,100496,,,,,,,,D,3,,,,6D,6D,,N,,78.18711981,,,,,03/30/2011 04:49:26 PM +0000,04/19/2018 03:17:43 PM +0000,,,,13,13,300297,,,,,,,,,,,,OCEAN PARKWAY BIKE PATH,TW,75.11900010933381,ebf66456-aa76-4a42-8a85-002337fccb0a,,,OCEAN PARKWAY BIKE PATH,OCEAN PARKWAY BIKE PATH,2,3-ocean parkway bike path,False
"MULTILINESTRING ((-73.840098503128 40.764140479327, -73.840206786999 40.764144833339, -73.840315149472 40.764141811726, -73.840422723282 40.764131438672), (-73.840422723282 40.764131438672, -73.84054204964 40.764117866415))",146373,,,,,11368.0,11368.0,2,1.0,NV,6,,,104533,,,,,,,,,4,,,,,,,N,,128.29754598,,,,,06/06/2012 12:27:05 PM +0000,10/10/2024 10:09:48 AM +0000,,,,13,13,400393,,,,,,,,,,,,MARINA ROAD BIKE PATH,TW,49.64612277953685,b12b1665-ad8d-4a44-8a2b-319ed0c9ae19,,,MARINA ROAD BIKE PATH,MARINA ROAD BIKE PATH,4,4-marina road bike path,False
"MULTILINESTRING ((-74.121719861617 40.626548580766, -74.121745815346 40.626496358993, -74.121746981586 40.626494313403, -74.121754344226 40.626480824724, -74.121807477877 40.626393895336, -74.12181055693 40.626390578519, -74.121830005182 40.626374348152, -74.121837523903 40.626368927997, -74.12185488288 40.626347648508))",66665,,,,,,,2,1.0,NV,6,,,60620,,,,,,,,D,5,,,,,,,N,,82.90409855,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,33.34794700849227,c960a147-f6d6-4543-b1a6-5525b313ef14,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-73.837308544393 40.762802881844, -73.836952722684 40.762838625442, -73.836429957374 40.76289196587))",125855,,,,,11368.0,11368.0,2,4.0,NV,6,,,100841,,,,,,,,,4,,,,,,,N,,,,,,,04/13/2011 02:46:47 PM +0000,06/23/2021 01:27:07 PM +0000,,,,13,13,457790,,,,,,,,,,,,FLUSHING BRDG PED AND BIKE PATH,TW,98.67638148451732,03c716a0-b29a-4378-bb20-00d655205730,,,FLUSHING BRDG PED AND BIKE PATH,FLUSHING BRDG PED AND BIKE PATH,4,4-flushing brdg ped and bike path,False
"MULTILINESTRING ((-73.851012837238 40.752332480527, -73.850932055868 40.752352916586, -73.850857725657 40.752368967229))",180434,,,,,11368.0,11368.0,2,,TW,13,,,114611,,,,,,,,,4,,,,,,,N,,23.58747108,,,,,05/05/2016 12:17:35 PM +0000,04/19/2017 12:08:37 PM +0000,,,,13,13,410015,V,,,,,,,,,,,CONNECTOR,,18.08472644837665,eef5413e-ba15-40ff-9b70-d3af4e736f11,,,CONNECTOR,CONNECTOR,4,4-connector,False
"MULTILINESTRING ((-73.92395061199 40.793133515339, -73.924034115623 40.793173261961))",176317,,,,,10035.0,10035.0,2,1.0,NV,6,,,112796,,,,,,,,,1,,,,,,,N,,27.28203839,,,,,09/26/2016 12:45:49 PM +0000,05/02/2022 04:08:05 PM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,TW,10.980157543265388,06741a74-2c94-4cfe-84c8-4f8bccd65682,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,4,1-pedestrian and bike path link,False
"MULTILINESTRING ((-74.007376847173 40.753890254692, -74.00730982295 40.75405726953), (-74.00730982295 40.75405726953, -74.007272757625 40.754139392543, -74.007229565479 40.754219765502, -74.007180388431 40.754298124328), (-74.007180388431 40.754298124328, -74.006979292731 40.754602271655))",132060,,,,,10001.0,10001.0,2,1.0,NV,6,,,102229,,,,,,,,D,1,,,,,,,N,,,,,,,05/12/2011 05:54:46 PM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,100244,,,,,,,,,,,,HUDSON RIVER GREENWAY,TW,113.89691036624023,a317776f-cd66-48d1-8c91-854464265812,,,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,1,1-hudson river greenway,False
"MULTILINESTRING ((-73.98343470315 40.787955441954, -73.983408745627 40.788045239829, -73.983372174417 40.788132876844, -73.983325291277 40.7882176299), (-73.983325291277 40.7882176299, -73.983309538786 40.788239372326, -73.983296131064 40.788262004852, -73.983285154475 40.788285381696, -73.983276679723 40.788309352277), (-73.983276679723 40.788309352277, -73.983269558661 40.788328923613, -73.983264591255 40.788348875468, -73.98326181153 40.788369071182, -73.983261238525 40.788389372427, -73.983262876165 40.78840964015, -73.983266713233 40.788429735529, -73.983272723446 40.788449520922, -73.98328086564 40.788468860811))",176377,,,,,10024.0,10024.0,2,4.0,NV,6,,,112820,,,,,,,,D,1,,,,,,,N,,195.90892295,,,,,05/03/2017 03:41:28 PM +0000,05/03/2017 04:10:45 PM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,TW,79.00866077055598,6236494b-ca1e-4200-838b-c4bdb4fe438f,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,1,1-pedestrian and bike path link,False
"MULTILINESTRING ((-73.905131073006 40.863184600661, -73.905077204265 40.863235867568, -73.905028014406 40.863289776916, -73.904983727611 40.863346083007), (-73.904983727611 40.863346083007, -73.904944545971 40.86340452943, -73.904910647831 40.863464849595, -73.904882187683 40.863526768587), (-73.904882187683 40.863526768587, -73.904934570026 40.863552879392, -73.904984852566 40.863581269954, -73.905032863379 40.863611843197), (-73.905032863379 40.863611843197, -73.905078438644 40.863644494616, -73.905121422192 40.863679112552, -73.905161667055 40.863715578636))",201701,,,,,10468.0,10468.0,2,,NV,6,,,132652,,,,,,,,,2,,,,,,,N,,104.01271801,,,,,11/28/2023 01:04:17 PM +0000,,,,,13,13,201348,,,,,,,,,,,,DEVOE PARK PATH,,99.79152475924576,0231787f-2c97-4ba5-9e9e-5e61b4039d13,,,DEVOE PARK PATH,DEVOE PARK PATH,5,2-devoe park path,False
"MULTILINESTRING ((-74.113452038342 40.618412570652, -74.113452873169 40.61841673929, -74.113474731142 40.618525176659, -74.113507410735 40.618624552584, -74.113512695685 40.618633039243, -74.113569576556 40.618724413182, -74.113676316255 40.618836440865, -74.113784142387 40.618913130314, -74.113927282165 40.618983823988, -74.113988194383 40.619006393252, -74.114037904753 40.619022967515, -74.114154151127 40.619054280575, -74.114156953572 40.619055034353))",66615,,,,,,,2,1.0,NV,6,,,60570,,,,,,,,D,5,,,,,,,N,,326.75982315,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,131.31170280275026,0293f3a8-ba12-48c0-b51b-514a9dbfa2d6,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-73.767292562591 40.735481946522, -73.766797031699 40.735613214284))",126333,,,,,11364.0,11364.0,2,1.0,NV,6,,,100910,,,,,,,,D,4,,,,,,,N,,,,,,,04/15/2011 12:42:36 PM +0000,04/19/2018 03:18:04 PM +0000,,,,8,13,400080,,,,,,,,,,,,CUNNINGHAM PARK GREENWAY,TW,58.436091410173624,cfbeeb0d-3efa-4947-b9e2-c0eee7485387,,,CUNNINGHAM PARK GREENWAY,CUNNINGHAM PARK GREENWAY,3,4-cunningham park greenway,False
"MULTILINESTRING ((-73.926417515512 40.843995921375, -73.926671945041 40.84409493193), (-73.926671945041 40.84409493193, -73.926686237885 40.844103840179, -73.926699484664 40.844113636641, -73.92671158998 40.844124250763, -73.926722466652 40.844135606105, -73.92673203635 40.844147620889, -73.926740230156 40.844160208585, -73.926746989058 40.844173278541, -73.926752264382 40.844186736629, -73.926756018135 40.844200485928, -73.926758223284 40.844214427418, -73.926758863949 40.844228460696, -73.926757935514 40.844242484698, -73.926755444667 40.844256398425), (-73.926755444667 40.844256398425, -73.926671651513 40.844542941552))",196953,,,,,10452.0,10452.0,2,,FT,9,,,121145,,,,,,,,,2,,,,,,,N,,395.4777366,,,,,08/10/2022 11:37:24 AM +0000,10/10/2024 10:09:48 AM +0000,,,,13,13,297510,V,,,,,,,,,,,MAJOR DEEGAN ENTRANCE NB,,101.87627928354132,e2f2d0dc-38d3-411b-b2a2-fc430f88b127,,,MAJOR DEEGAN ENTRANCE NB,MAJOR DEEGAN ENTRANCE NB,5,2-major deegan entrance nb,False
"MULTILINESTRING ((-73.819431114912 40.709227023515, -73.819528944722 40.708587373229))",181644,,,,,11435.0,11435.0,2,,FT,9,,,114964,,82266124.0,62260338.0,,,,,V,4,,,,3E,3E,,N,,,22.0,,,,11/29/2007 12:00:00 AM +0000,01/10/2023 02:11:58 PM +0000,,3.0,,9,9,411855,C,,,,,0.0,,,,,,VAN WYCK EXPWY SB EN MAIN ST,,94.56381209374446,426414cc-5467-4e90-b127-135fc6e2b779,,,VAN WYCK EXPWY SB EN MAIN ST,VAN WYCK EXPWY SB EN MAIN ST,3,4-van wyck expwy sb en main street,False
"MULTILINESTRING ((-73.914691215972 40.557100002961, -73.914909355622 40.556424751526))",166937,,,,,11697.0,11697.0,2,,TW,10,,,108857,,,,,,,,,4,,H,,,,,N,,253.2168903,,,,,07/06/2015 11:32:29 AM +0000,04/24/2017 11:49:54 AM +0000,,,,13,13,413170,,,,,,,,,,,,ALLEY,,101.8735371532176,bfbf9e6e-4f10-40f4-ac89-65e2983fb987,,,ALLEY,ALLEY,2,4-alley,False
"MULTILINESTRING ((-73.869122132095 40.878610088482, -73.869193191708 40.878647074652))",129870,,,,,10467.0,10467.0,2,,NV,6,,,101655,,,,,,,,D,2,,,,,,,N,,,,,,,05/09/2011 12:25:12 PM +0000,11/17/2022 11:29:52 AM +0000,,,,13,13,200106,,,,,,,,,,,,BRONX RIVER GREENWAY,,9.603433754396464,75f8642f-6fae-44fb-b0c5-8f69ff19c760,,,BRONX RIVER GREENWAY,BRONX RIVER GREENWAY,5,2-bronx river greenway,False
"MULTILINESTRING ((-74.070142902346 40.586548038204, -74.069909566987 40.586445250327, -74.069783654202 40.586568498704, -74.069294677915 40.586313191129))",123975,,,,,10305.0,10305.0,2,,NV,6,,,100456,,,,,3.0,,,D,5,,,,,,,N,,350.66344087,,,,,03/30/2011 12:52:34 PM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,500254,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,118.95086985985034,93d806b1-515e-4ce7-ad65-e8cd913c3f48,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,6,5-pedestrian and bike path link,False
"MULTILINESTRING ((-73.878214201957 40.638835884943, -73.87816116487 40.638938582127, -73.87804310548 40.639167185188), (-73.87804310548 40.639167185188, -73.878003587526 40.639217372559, -73.877964929796 40.639267947202, -73.877927138832 40.63931890056), (-73.877927138832 40.63931890056, -73.877880835085 40.639402798218, -73.87783688484 40.639487427206, -73.877795307991 40.639572749211), (-73.877795307991 40.639572749211, -73.877738068281 40.639689368908, -73.877680512145 40.639805897916, -73.87762263983 40.639922335737), (-73.87762263983 40.639922335737, -73.877549170308 40.640068465864, -73.877478260472 40.640215327716, -73.877409922886 40.640362895266), (-73.877409922886 40.640362895266, -73.877296070648 40.640622335657, -73.877174634358 40.64087977145, -73.877045674701 40.641135074018), (-73.877045674701 40.641135074018, -73.876809477883 40.641582755389), (-73.876809477883 40.641582755389, -73.876734719082 40.641705190918, -73.876651797701 40.641824537313, -73.876560932964 40.641940479073), (-73.876560932964 40.641940479073, -73.876465474514 40.642047069988, -73.876366896653 40.642152000206, -73.876265249139 40.642255216767), (-73.876265249139 40.642255216767, -73.876176691944 40.642340381778, -73.875958254567 40.642556335324), (-73.875958254567 40.642556335324, -73.875851370637 40.642661671317, -73.875757674005 40.642774056543, -73.875677960814 40.642892536032, -73.875612908385 40.643016103033))",198673,,,,,11239.0,11239.0,2,1.0,NV,6,,,130686,,,,,,,,D,3,,,,,,,N,,,,,,,04/07/2011 03:29:21 PM +0000,02/08/2024 12:00:06 PM +0000,,,,13,13,300093,V,,,,,,,,,,,SHORE PARKWAY GREENWAY,TW,682.6488251643923,7b94dcc4-f6dc-4792-8618-3281c1068dcd,,,SHORE PARKWAY GREENWAY,SHORE PARKWAY GREENWAY,2,3-shore parkway greenway,False
"MULTILINESTRING ((-74.017084703317 40.686868827256, -74.016691051048 40.686374836542, -74.015148449205 40.686482125731))",177900,,,,,,,2,,NV,6,,,113494,,,,,,,,,1,,,,,,,N,,210.49951848,,,,,12/30/2016 10:59:06 AM +0000,04/12/2019 12:37:59 PM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,257.17390050971517,4f7b7394-4873-45f9-afad-3e969ae127df,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,1,1-pedestrian and bike path link,False
"MULTILINESTRING ((-73.752529314779 40.737249306367, -73.752469163353 40.737118062337))",176360,,,,,11364.0,11364.0,2,,NV,6,,,112808,,,,,,,,,4,,,,,,,N,,50.63866986,,,,,09/27/2016 09:53:50 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,400453,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,20.411367416530197,06e19535-401e-499d-9aac-12d91176f28a,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,3,4-pedestrian and bike path link,False
"MULTILINESTRING ((-73.836886602851 40.8565716621, -73.836880592671 40.856520372626), (-73.836880592671 40.856520372626, -73.83661491771 40.856515238507, -73.836350664033 40.856493779791, -73.836089568685 40.856456137519), (-73.836089568685 40.856456137519, -73.835625828127 40.856377904779))",197768,,,,,10461.0,10461.0,2,1.0,NV,6,,,130764,,,,,,,,D,2,,,,,,,N,,,,,,,04/29/2011 11:43:49 AM +0000,10/04/2023 11:34:25 AM +0000,,,,13,13,200175,V,,,,,,,,,,,PELHAM PARKWAY GREENWAY,TW,149.22864280506758,6329a044-7fcb-482e-b982-5fd1b5dbfa1d,,,PELHAM PARKWAY GREENWAY,PELHAM PARKWAY GREENWAY,5,2-pelham parkway greenway,False
"MULTILINESTRING ((-73.742663971596 40.662779167551, -73.74265076424 40.662771688168, -73.742389712224 40.662615265581, -73.742168216352 40.66244619787))",198505,,,,,11422.0,11422.0,2,,NV,3,,,130806,,,,,,,,D,4,,H,,,,,N,,4.56635948,,,,,11/16/2022 12:14:19 PM +0000,09/23/2024 02:49:43 PM +0000,,,,13,13,400290,V,,,,,,,,,,,BROOKVILLE PARK GREENWAY,,73.84674760360997,78ad5069-c482-49d6-bce4-2da599171d8d,,,BROOKVILLE PARK GREENWAY,BROOKVILLE PARK GREENWAY,3,4-brookville park greenway,False
"MULTILINESTRING ((-73.926360141652 40.799414029248, -73.926424293192 40.799322833143, -73.926482456169 40.79922934643, -73.926534489398 40.799133796034), (-73.926534489398 40.799133796034, -73.926580265891 40.799036414325, -73.926619675271 40.798937437282, -73.926652621876 40.798837105155))",137252,,,,,10035.0,10035.0,2,1.0,NV,6,,,103202,,1322600763.0,1322601811.0,,,,,D,1,,,,,,,N,,,30.0,,,,06/03/2011 07:34:21 PM +0000,04/19/2018 03:18:04 PM +0000,,,,13,13,113585,,,,,1.0,0.0,1.0,,,,,HARLEM RIVER PATHWAY,TW,91.1919636448004,311a515f-1dfc-4643-a2c3-016bb2c2b0e7,,,HARLEM RIVER PATHWAY,HARLEM RIVER PATHWAY,4,1-harlem river pathway,False
"MULTILINESTRING ((-73.871083891391 40.857385312324, -73.871083702113 40.857319614276), (-73.871083702113 40.857319614276, -73.871083863291 40.857313860322, -73.871083353818 40.857308118086, -73.871082177682 40.857302432543, -73.871080344096 40.85729684822, -73.87107786742 40.857291408854, -73.871074767052 40.857286157047, -73.871071067273 40.857281133931, -73.87106679706 40.857276378847, -73.871061989859 40.857271929038, -73.871056683318 40.857267819353, -73.871050918999 40.857264081981), (-73.871050918999 40.857264081981, -73.871020978593 40.857243512245, -73.870988859114 40.857224933869, -73.87095478962 40.857208479343), (-73.87095478962 40.857208479343, -73.870897709792 40.857184954713, -73.870838792801 40.857164204776, -73.870778272327 40.857146311836), (-73.870778272327 40.857146311836, -73.870671993801 40.857127510303, -73.870563894216 40.857116176484, -73.870454881807 40.857112405606, -73.870345872478 40.857116229354), (-73.870345872478 40.857116229354, -73.870015645127 40.857165803224, -73.869593992372 40.857246721021, -73.869105336806 40.857327560777, -73.868950593726 40.85734403393, -73.868768794727 40.85734905268))",129672,,,,,10467.0,10467.0,2,1.0,NV,6,,,101595,,,,,,,,D,2,,,,,,,N,,,,,,,05/06/2011 11:07:44 AM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,200175,,,,,,,,,,,,PELHAM PARKWAY GREENWAY,TW,282.01575149896354,69235e17-14a2-42bc-8bbe-bb09f0b30547,,,PELHAM PARKWAY GREENWAY,PELHAM PARKWAY GREENWAY,5,2-pelham parkway greenway,False
"MULTILINESTRING ((-73.91843079926 40.781247708414, -73.918492373278 40.781261754457, -73.918552091184 40.78127984788, -73.918609493539 40.781301849479), (-73.918609493539 40.781301849479, -73.918664139223 40.781327590015, -73.918715607292 40.781356871473, -73.918763501774 40.781389468571))",186098,,,,,11105.0,11105.0,2,,NV,6,,,116363,,,,,,,,,4,,,,,,,N,,885.94229534,,,,,05/16/2019 03:12:15 PM +0000,05/17/2019 02:55:44 PM +0000,,,,13,13,400630,,,,,,,,,,,,ASTORIA PARK PATH,,42.98011325564658,6ef867ac-e3bc-47ea-b621-89c8ed3b7b69,,,ASTORIA PARK PATH,ASTORIA PARK PATH,4,4-astoria park path,False
"MULTILINESTRING ((-73.865436327718 40.651340745913, -73.865337706824 40.651396267154, -73.86524107921 40.651453785624, -73.865146514583 40.651513259825), (-73.865146514583 40.651513259825, -73.865054081352 40.651574646825, -73.864963846011 40.651637902352, -73.864875873655 40.651702980767), (-73.864875873655 40.651702980767, -73.864149765798 40.652259382337), (-73.864149765798 40.652259382337, -73.863926889687 40.652419111151, -73.863695165046 40.652571359806, -73.86345502424 40.652715844283), (-73.86345502424 40.652715844283, -73.862881463404 40.653046824852), (-73.862881463404 40.653046824852, -73.862434940167 40.653305263449, -73.86199846542 40.653573475581, -73.861572407849 40.653851234576), (-73.861572407849 40.653851234576, -73.860783029716 40.654356649216, -73.86057655975 40.654509953994, -73.860497208478 40.654567057508))",195161,,,,,11239.0,11239.0,2,1.0,NV,6,,,120434,,,,,,,,D,3,,,,,,,N,,,,,,,04/07/2011 04:24:44 PM +0000,05/10/2022 03:56:17 PM +0000,,,,13,13,300093,,,,,,,,,,,,SHORE PARKWAY GREENWAY,TW,726.4234434593383,4e070b4b-809a-4458-a242-e27067285780,,,SHORE PARKWAY GREENWAY,SHORE PARKWAY GREENWAY,2,3-shore parkway greenway,False
"MULTILINESTRING ((-73.969157350939 40.779154601124, -73.96909807751 40.779161521301))",196735,,,,,83.0,83.0,2,,NV,3,,,121574,,,,,,,,,1,,,,,,,N,,16.60835415,,,,,06/30/2022 04:03:21 PM +0000,10/11/2022 09:47:18 AM +0000,,,,13,13,100726,V,,,,,,,,,,,CENTRAL PARK BOW BRIDGE PATH,,6.676252746064255,ced7bb5b-9f0b-4c68-b95d-687c255a2e29,,,CENTRAL PARK BOW BRIDGE PATH,CENTRAL PARK BOW BRIDGE PATH,1,1-central park bow bridge path,False
"MULTILINESTRING ((-74.250863732129 40.51322916367, -74.250956581219 40.513221001788, -74.25095930494 40.513224007036))",197698,,,,,10307.0,10307.0,2,,NV,6,,,130786,,,,,,,,,5,,,,,,,N,,,,,,,,10/10/2024 10:09:48 AM +0000,,,,13,13,570265,,,,,,,,,,,,MAIN ST FOOTBRIDGE,,10.939160161504557,e1eec616-d6ca-44f7-b378-e9517db352f7,,,MAIN ST FOOTBRIDGE,MAIN ST FOOTBRIDGE,6,5-main street footbridge,False
"MULTILINESTRING ((-73.923153059682 40.877209676077, -73.922318885454 40.877762277491, -73.921646437555 40.878206817686))",176388,,,,,10034.0,10034.0,2,4.0,NV,6,,,112830,,,,,,,,,1,,,,,,,N,,306.18795095,,,,,09/27/2016 02:24:09 PM +0000,05/16/2017 12:00:00 AM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,TW,222.8919927488367,00800098-c6e2-49bd-90fa-1a8e3c46c508,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,5,1-pedestrian and bike path link,False
"MULTILINESTRING ((-74.110054916041 40.617967125032, -74.110088348349 40.617938555962, -74.110221622751 40.617813957887, -74.110300153989 40.617737383457, -74.110370467889 40.61765836742, -74.110402959099 40.617618055713))",66608,,,,,,,2,1.0,NV,6,,,60563,,,,,,,,D,5,,,,,,,N,,159.93310964,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,64.28680670595318,990cc203-535c-46f8-a6eb-14b3a91922df,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-73.884286747898 40.820792009298, -73.884473930393 40.820913112948, -73.884710349435 40.821407591399))",200110,,,,,10474.0,10474.0,2,1.0,TF,9,,,131704,,,,,,,,,2,,,,,,,N,,259.72227589,,,,,05/31/2023 03:08:30 PM +0000,09/23/2024 02:48:37 PM +0000,,,,13,17,201156,V,,,,,,,,,,,SHERIDAN BLVD NB EXIT RAMP,TW,104.7673999580986,c6d04db9-b822-4357-9370-489049afac34,,,SHERIDAN BLVD NB EXIT RAMP,SHERIDAN BLVD NB EXIT RAMP,5,2-sheridan boulevard nb exit ramp,False
"MULTILINESTRING ((-73.979922393722 40.730270449238, -73.979732861171 40.730321407117))",187749,,,,,10009.0,10009.0,2,,TF,1,,,116984,,,,,,,,,1,,,,,,,N,,55.7141318,,,,,01/03/2020 01:54:22 PM +0000,10/14/2021 10:57:12 AM +0000,,,,13,13,110025,H,,,,,,,,,,,CONNECTOR,,22.3872701720214,3503deed-1e58-4a76-8a92-6c8382fb51e8,,,CONNECTOR,CONNECTOR,1,1-connector,False
"MULTILINESTRING ((-73.959852738411 40.71732107118, -73.959885532013 40.717289400925, -73.96010791961 40.7170746787, -73.960358841341 40.716844636317, -73.960411111825 40.716797510886, -73.960447166372 40.716765092243))",108947,,,,,11249.0,11249.0,2,,NV,10,,,98441,,,,,,,,,3,,H,,2B,2B,,N,,261.16904942,,,,,11/29/2007 12:00:00 AM +0000,02/05/2016 11:17:16 AM +0000,,,,13,13,312025,,,,,,,,,,,,ALLEY,,105.11288170939422,e55906aa-0236-4adc-b852-dc063dc2ab2b,,,ALLEY,ALLEY,1,3-alley,False
"MULTILINESTRING ((-74.011440632813 40.724292710574, -74.011592529283 40.724305845557))",131980,,,,,10013.0,10013.0,2,,NV,6,,,102178,,,,,,,,D,1,,X,,,,,N,,,,,,,05/19/2011 11:20:08 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,17.018753865486804,a38b3e3c-f677-4d07-b606-19e928733294,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,1,1-pedestrian and bike path link,False
"MULTILINESTRING ((-73.813521707818 40.864384670267, -73.813557249005 40.864440712021))",129457,,,,,10464.0,10464.0,2,1.0,NV,6,,,101530,,,,,,,,D,2,,,,,,,N,,,,,,,05/03/2011 11:53:43 AM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,200095,,,,,,,,,,,,SHORE ROAD GREENWAY,TW,9.148912832291774,b787fd7a-455d-449d-88ee-1765bf06b34a,,,SHORE ROAD GREENWAY,SHORE ROAD GREENWAY,5,2-shore road greenway,False
"MULTILINESTRING ((-74.105482772819 40.618023659739, -74.105360605985 40.618085907943, -74.105253296136 40.618142253101, -74.105220328421 40.61815981653, -74.105210539376 40.618164714991, -74.105117548937 40.618211221675))",66697,,,,,10301.0,10301.0,2,1.0,NV,6,,,60652,,,,,,,,D,5,,,,1E,1E,,N,,122.2775783,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,49.08989690975281,c5919e73-061c-4765-bc0d-a897805a59ec,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
