normalized_street_name_season,normalized_street_name,roadwork_season,sqyd-days,area,total_area,roadwork_factor
1-east 87 street_2025,1-east 87 street,2025,778.0,389.0,16410.8,0.0237
1-east 88 street_2019,1-east 88 street,2019,46737.4,23368.7,16412.5,1.4238
1-east 88 street_2024,1-east 88 street,2024,400.0,200.0,16412.5,0.0122
1-east 88 street_2025,1-east 88 street,2025,830.0,415.0,16412.5,0.0253
1-east 89 street_2019,1-east 89 street,2019,40500.2,20250.1,18093.7,1.1192
1-east 89 street_2024,1-east 89 street,2024,426.0,213.0,18093.7,0.0118
1-east 89 street_2025,1-east 89 street,2025,792.0,396.0,18093.7,0.0219
1-east 9 street_2020,1-east 9 street,2020,29560.0,14780.0,18767.8,0.7875
1-east 9 street_2021,1-east 9 street,2021,28904.0,14452.0,18767.8,0.77
1-east 9 street_2022,1-east 9 street,2022,37414.0,18707.0,18767.8,0.9968
1-east 90 street_2018,1-east 90 street,2018,26473.3,12006.7,17573.4,0.6832
1-east 90 street_2021,1-east 90 street,2021,27320.0,13660.0,17573.4,0.7773
1-east 90 street_2025,1-east 90 street,2025,832.0,416.0,17573.4,0.0237
1-east 91 street_2017,1-east 91 street,2017,4953.3,2476.7,12818.8,0.1932
1-east 91 street_2023,1-east 91 street,2023,22862.0,11431.0,12818.8,0.8917
1-east 91 street_2025,1-east 91 street,2025,700.0,350.0,12818.8,0.0273
1-east 92 street_2018,1-east 92 street,2018,4933.3,2466.7,12046.7,0.2048
1-east 92 street_2022,1-east 92 street,2022,25438.0,12719.0,12046.7,1.0558
1-east 92 street_2025,1-east 92 street,2025,378.0,189.0,12046.7,0.0157
1-east 93 street_2017,1-east 93 street,2017,49940.0,24970.0,14870.8,1.6791
1-east 93 street_2018,1-east 93 street,2018,26040.0,13020.0,14870.8,0.8755
1-east 93 street_2025,1-east 93 street,2025,428.0,214.0,14870.8,0.0144
1-east 94 street_2017,1-east 94 street,2017,37930.0,12643.4,11546.5,1.095
1-east 94 street_2025,1-east 94 street,2025,404.0,202.0,11546.5,0.0175
1-east 95 street_2017,1-east 95 street,2017,14646.7,7323.3,11551.3,0.634
1-east 95 street_2021,1-east 95 street,2021,20393.4,10196.7,11551.3,0.8827
1-east 95 street_2025,1-east 95 street,2025,378.0,189.0,11551.3,0.0164
1-east 96 street_2016,1-east 96 street,2016,69123.3,31036.1,23457.7,1.3231
1-east 96 street_2019,1-east 96 street,2019,50153.9,25076.9,23457.7,1.069
1-east 96 street_2023,1-east 96 street,2023,138312.0,29452.0,23457.7,1.2555
1-east 96 street_2025,1-east 96 street,2025,746.0,373.0,23457.7,0.0159
1-east 97 street_2017,1-east 97 street,2017,74955.3,24985.1,11721.9,2.1315
1-east 97 street_2023,1-east 97 street,2023,384.0,192.0,11721.9,0.0164
1-east 97 street_2024,1-east 97 street,2024,178.0,89.0,11721.9,0.0076
1-east 98 street_2018,1-east 98 street,2018,85184.6,28394.9,5554.1,5.1124
1-east 98 street_2023,1-east 98 street,2023,360.0,180.0,5554.1,0.0324
1-east 99 street_2018,1-east 99 street,2018,40904.2,20452.1,10680.5,1.9149
1-east 99 street_2021,1-east 99 street,2021,70680.6,35340.3,10680.5,3.3089
1-east 99 street_2023,1-east 99 street,2023,8434.0,4217.0,10680.5,0.3948
1-east 99 street_2024,1-east 99 street,2024,234.0,117.0,10680.5,0.011
1-east broadway_2022,1-east broadway,2022,18294.0,9147.0,23705.5,0.3859
1-east broadway_2024,1-east broadway,2024,91912.0,45956.0,23705.5,1.9386
1-east drive_2019,1-east drive,2019,887093.3,822999.8,35464.3,23.2064
1-east drive_2025,1-east drive,2025,284644.0,142322.0,35464.3,4.0131
1-east end avenue_2022,1-east end avenue,2022,24256.0,12128.0,19464.6,0.6231
1-east end avenue_2024,1-east end avenue,2024,19052.0,9526.0,19464.6,0.4894
1-east houston street_2021,1-east houston street,2021,768.0,384.0,46754.1,0.0082
1-east houston street_2022,1-east houston street,2022,187185.0,58097.0,46754.1,1.2426
1-east houston street_2024,1-east houston street,2024,72604.0,36302.0,46754.1,0.7764
1-edgar street_2022,1-edgar street,2022,544.0,272.0,760.0,0.3579
1-edgecombe avenue_2016,1-edgecombe avenue,2016,203776.5,67925.5,35660.8,1.9048
1-edgecombe avenue_2019,1-edgecombe avenue,2019,92703.6,46351.8,35660.8,1.2998
1-edgecombe avenue_2023,1-edgecombe avenue,2023,47820.0,22913.0,35660.8,0.6425
1-edgecombe avenue_2025,1-edgecombe avenue,2025,31934.0,15967.0,35660.8,0.4477
1-edward m morgan place_2025,1-edward m morgan place,2025,738.0,369.0,2865.5,0.1288
1-elizabeth street_2018,1-elizabeth street,2018,11013.4,5506.7,10167.4,0.5416
1-elizabeth street_2020,1-elizabeth street,2020,13270.7,6635.3,10167.4,0.6526
1-elizabeth street_2022,1-elizabeth street,2022,182.0,91.0,10167.4,0.009
1-elizabeth street_2024,1-elizabeth street,2024,134.0,67.0,10167.4,0.0066
1-elk street_2019,1-elk street,2019,901.3,450.7,956.4,0.4712
1-elk street_2024,1-elk street,2024,616.0,308.0,956.4,0.322
1-ellwood street_2021,1-ellwood street,2021,39321.8,19660.9,3725.1,5.278
1-essex street_2016,1-essex street,2016,535103.0,107020.6,14607.4,7.3265
1-exchange place_2020,1-exchange place,2020,2926.9,1463.4,1910.9,0.7658
1-f d r drive_2017,1-f d r drive,2017,55250.0,18416.6,,
1-f d r drive_2020,1-f d r drive,2020,4240.0,2120.0,,
1-fairview avenue_2016,1-fairview avenue,2016,103761.0,51880.5,4730.0,10.9684
1-fdr drive sb entrance york avenue_2025,1-fdr drive sb entrance york avenue,2025,1332.0,666.0,835.8,0.7968
1-fletcher street_2022,1-fletcher street,2022,74.0,37.0,1126.6,0.0328
1-forsyth street_2016,1-forsyth street,2016,166182.0,44741.8,14948.5,2.9931
1-forsyth street_2023,1-forsyth street,2023,124.0,62.0,14948.5,0.0041
1-fort george hill_2021,1-fort george hill,2021,413362.4,206681.2,7747.7,26.6765
1-fort washington avenue_2022,1-fort washington avenue,2022,60982.0,30491.0,37616.2,0.8106
1-fort washington avenue_2023,1-fort washington avenue,2023,73974.0,36987.0,37616.2,0.9833
1-frankfort street_2017,1-frankfort street,2017,143126.8,66083.4,4100.5,16.1159
1-franklin d roosevelt drive_2017,1-franklin d roosevelt drive,2017,57340.0,20706.7,179585.0,0.1153
