normalized_street_name,Vol
1-1 avenue,221.77408354646207
1-10 avenue,70.39300411522633
1-11 avenue,152.7365107913669
1-12 avenue,662.8477564102565
1-145 street bridge,191.388720666162
1-2 avenue,375.17910447761193
1-3 avenue,183.48497854077254
1-5 avenue,255.8827106863597
1-6 avenue,371.21085164835165
1-7 avenue,379.59455128205127
1-79 street transverse,141.03846153846155
1-8 avenue,433.9120879120879
1-9 avenue,65.90198511166253
1-97 street transverse,177.77692307692308
1-adam c powell boulevard,90.19975186104219
1-alexander hamilton bridge,871.9080370942813
1-allen street,80.67307692307692
1-amsterdam avenue,117.21785714285714
1-audubon avenue,23.990384615384617
1-avenue b,13.201923076923077
1-broadway,146.21442125237192
1-broadway bridge,199.49439102564102
1-brooklyn bridge,737.8325581395349
1-c p 7 avenue approach,28.21153846153846
1-canal street,173.62998405103667
1-cbe sb entrance washington brdg,106.56190476190476
1-central park north,43.99862637362637
1-central park south,115.08843537414965
1-central park west,124.148244473342
1-centre street,157.74193548387098
1-chatham square,106.21153846153847
1-chrystie street,128.82780410742495
1-clinton street,131.01442307692307
1-columbia street,40.644444444444446
1-columbus avenue,224.46814159292035
1-cpw 72 approach,10.645833333333334
1-cross bronx expwy nb et 1 b,111.94791666666667
1-delancey street,249.33093525179856
1-desbrosses street,21.233333333333334
1-dyckman street,79.59935897435898
1-east 116 street,64.27136752136752
1-east 125 street,31.11111111111111
1-east 14 street,13.961538461538462
1-east 16 street,33.5
1-east 23 street,121.07692307692308
1-east 25 street,19.81081081081081
1-east 34 street,129.54326923076923
1-east 36 street,140.90384615384616
1-east 49 street,140.27403846153845
1-east 50 street,81.85576923076923
1-east 57 street,124.0
1-east 58 street,92.41153846153846
1-east 59 street,109.5576923076923
1-east 60 street,162.69230769230768
1-east 72 street,41.532051282051285
1-east 96 street,212.82051282051282
1-east broadway,87.49038461538461
1-east houston street,183.16369455875628
1-ed koch queensboro bridge,168.29072398190044
1-ed koch queensboro bridge appr,437.9102564102564
1-ed koch queensboro bridge exit,385.53846153846155
1-edgecombe avenue,52.55769230769231
1-f d r drive,795.0692307692308
1-fdr drive exit 7 northbound,7.323717948717949
1-frederick douglass boulevard,60.964285714285715
1-greenwich street,6.111111111111111
1-henry hudson parkway,863.9313186813187
1-henry hudson parkway exit nb,143.88736263736263
1-hudson street,160.44174757281553
1-lafayette street,85.94505494505495
1-lexington avenue,189.0907944514502
1-liberty street,49.857142857142854
1-macombs dam bridge,249.21550255536627
1-madison avenue,201.31725888324874
1-madison avenue bridge,265.8771773112997
1-madison street,66.56346153846154
1-manhattan avenue,12.336538461538462
1-manhattan bridge,270.4058209774849
1-morningside avenue,51.21153846153846
1-morningside drive,22.653846153846153
1-park avenue,230.40861344537817
1-park row,18.283653846153847
1-pearl street,132.44230769230768
1-pike street,80.10576923076923
1-pitt street,45.104395604395606
1-pleasant avenue,39.49759615384615
1-riverside drive west,283.5
1-roosevelt is bridge,71.13568521031208
1-south street,46.57177177177177
1-spring street,90.43137254901961
1-street james place,87.65865384615384
1-sutton place,81.96153846153847
1-terrace drive,8.318787878787878
1-university heights bridge,233.67356377799416
1-wadsworth avenue,39.89390243902439
1-water street,134.0
1-west 112 street,23.384615384615383
1-west 121 street,16.884615384615383
1-west 125 street,116.94354838709677
1-west 143 street,19.623076923076923
1-west 145 street,125.01923076923077
1-west 155 street,178.89529914529913
1-west 156 street,19.724358974358974
1-west 165 street,102.95146818923328
1-west 167 street,12.164835164835164
1-west 176 street,37.074175824175825
1-west 177 street,35.93131868131868
1-west 178 street,224.31632653061226
1-west 179 street,77.34020618556701
1-west 181 street,60.86538461538461
1-west 182 street,33.421875
1-west 207 street,0.9041666666666667
1-west 212 street,8.48076923076923
1-west 219 street,7.065384615384615
1-west 220 street,23.453846153846154
1-west 225 street,63.61662198391421
1-west 26 street,93.48717948717949
1-west 29 street,85.76923076923077
1-west 34 street,285.7307692307692
1-west 35 street,65.96994535519126
1-west 37 street,71.85964912280701
1-west 42 street,110.92994505494505
1-west 53 street,93.70726495726495
1-west 57 street,148.4875
1-west 58 street,129.0
1-west 59 street,34.33894230769231
1-west 62 street,64.5
1-west 65 street,58.175
1-west 72 street,85.25
1-west 96 street,112.67307692307692
1-west end avenue,112.4466221851543
1-west street,417.2307692307692
1-williamsburg br approach,513.6241258741259
1-williamsburg bridge,582.4903846153846
1-willis avenue bridge,406.5041916167665
1-worth street,77.53846153846153
1-york avenue,149.85367545076284
2-145 street bridge approach,215.54807692307693
2-3 avenue,137.65625
2-3 avenue bridge,266.4380324264908
2-adams place,22.342995169082126
2-allerton avenue,96.07518796992481
2-anderson avenue,54.65365853658537
2-barretto street,62.089622641509436
2-bartow avenue,135.0130260521042
2-bedford park boulevard,62.24786324786325
2-boston road,155.18346007604563
2-broadway,101.82371794871794
2-bronx river avenue,117.28846153846153
2-bronx river parkway,700.4414029084688
2-bronx river shoreline,423.45454545454544
2-bronxdale avenue,92.71111111111111
2-bronxwood avenue,19.858156028368793
2-brook avenue,37.43814432989691
2-bruckner boulevard,177.1870709382151
2-burke avenue,45.30769230769231
2-city is bridge,121.15879534565366
2-clay avenue,36.49862637362637
2-concord avenue,9.526098901098901
2-concourse line,6.166666666666667
2-courtlandt avenue,48.6510989010989
2-cross bronx ep sb en jerome avenue,194.91758241758242
2-cross bronx expressway,889.9375
2-cross bronx expressway sr north,7.4653846153846155
2-cross bronx expwy et 2 a wb,84.77458033573141
2-cross bx svc road north,119.66283524904215
2-depot place,57.41540785498489
2-east 134 street,11.805944055944057
2-east 135 street,235.4278846153846
2-east 138 street,72.0709219858156
2-east 140 street,38.02197802197802
2-east 141 street,31.771978021978022
2-east 142 street,29.610576923076923
2-east 149 street,106.14102564102564
2-east 156 street,88.18181818181819
2-east 161 street,27.164383561643834
2-east 163 street,124.37315010570825
2-east 165 street,47.41346153846154
2-east 168 street,103.86328125
2-east 169 street,77.06837606837607
2-east 170 street,94.46153846153847
2-east 174 street bridge,120.18431087706556
2-east 175 street,29.126373626373628
2-east 179 street,4.8489010989010985
2-east 180 street,69.37087912087912
2-east 187 street,9.009615384615385
2-east 220 street,24.085164835164836
2-east 224 street,21.333333333333332
2-east 234 street,16.0625
2-east 235 street,17.971698113207548
2-east 236 street,15.5
2-east fordham road,246.10737812911725
2-east gun hill road,153.04632867132867
2-east tremont avenue,140.93413654618473
2-eastchester bridge,194.0374531835206
2-eastchester road,90.29807692307692
2-eastern boulevard bridge,1078.725806451613
2-edgewater road,113.63157894736842
2-edison avenue,8.0
2-elton avenue,94.80203045685279
2-exterior street,38.61538461538461
2-food center drive,22.343163538873995
2-gerard avenue,62.245726495726494
2-givan avenue,14.784810126582279
2-grand concourse,38.293956043956044
2-halleck street,32.92702702702703
2-hunts point avenue,63.27706323687031
2-hutchinson river parkway,470.75
2-jackson avenue,26.54945054945055
2-jerome avenue,68.67307692307692
2-kappock street,66.0204081632653
2-lafayette avenue,52.54229508196721
2-lincoln avenue,38.35302197802198
2-locust avenue,4.309065934065934
2-longwood avenue,81.09081196581197
2-macombs dam bridge,332.3540903540904
2-macombs road,71.99038461538461
2-madison avenue br approach,333.78846153846155
2-major deegan expressway,671.0844475721323
2-major deegan expressway sr,89.6889848812095
2-major deegan expwy et 3 nb,92.8076923076923
2-major deegan expwy et 3 sb,283.5769230769231
2-manhattan college parkway,10.689102564102564
2-manor avenue,29.930232558139537
2-marconi street,94.6923076923077
2-morris park avenue,96.6579254079254
2-new england thruway,797.8097768331562
2-olinville avenue,19.150641025641026
2-olmstead avenue,38.529411764705884
2-park avenue,39.32051282051282
2-parker street,21.23076923076923
2-pelham bridge,155.44744399770246
2-pelham parkway,278.61311053984576
2-pelham parkway south,55.84134615384615
2-prospect avenue,78.05
2-pugsley avenue,16.414285714285715
2-randall avenue,32.46978021978022
2-revere avenue,9.088669950738916
2-rhinelander avenue,33.27751196172249
2-river avenue,64.79807692307692
2-riverdale avenue,47.0
2-rombouts avenue,29.16
2-rosedale avenue,162.03076923076924
2-sedgwick avenue,51.8274374460742
2-sheridan expressway,192.3846153846154
2-soundview avenue,65.14972527472527
2-southern boulevard,53.92084942084942
2-spofford avenue,32.177350427350426
2-stillwell avenue,47.902472527472526
2-story avenue,33.39869281045752
2-tomlinson avenue,28.721153846153847
2-union port bridge,224.5
2-unionport road,23.31578947368421
2-university avenue,68.36538461538461
2-valentine avenue,55.82692307692308
2-van cortlandt avenue east,54.916666666666664
2-van cortlandt park east,52.43827160493827
2-vyse avenue,42.43681318681319
2-walton avenue,328.09090909090907
2-washington avenue,72.02197802197803
2-washington br en cross bx expwy,153.595
2-waters place,137.30769230769232
2-webster avenue,87.60960334029228
2-west 167 street,26.903125
2-west 180 street,10.701923076923077
2-west 230 street,145.47802197802199
2-west burnside avenue,70.76098901098901
2-west farms road,42.43269230769231
2-west fordham road,206.5
2-west tremont avenue,60.096774193548384
2-westchester avenue,52.814696485623
2-westchester avenue bridge,169.9377413127413
2-white plains road,78.0781377177275
3-1 avenue,28.576146788990826
3-11 avenue,144.61264822134387
3-14 avenue,91.14349775784753
3-17 avenue,206.6590909090909
3-18 street,11.817307692307692
3-19 avenue,111.0909090909091
3-19 street,46.502164502164504
3-20 avenue,14.62
3-20 street,91.67115384615384
3-26 avenue,59.09803921568628
3-3 avenue,135.8714005235602
3-3 street bridge,78.42775881683731
3-39 street,50.71153846153846
3-4 avenue,156.96703296703296
3-4 avenue line,91.8076923076923
3-43 street,19.334615384615386
3-5 avenue,60.71043771043771
3-58 street,20.43076923076923
3-64 street,112.38372093023256
3-65 street,64.69871794871794
3-7 avenue,20.0
3-86 street,46.11088709677419
3-9 avenue,37.0
3-9 street,65.30307692307693
3-9 street bridge,61.277992277992276
3-adams street,199.4010989010989
3-anthony street,2.7948717948717947
3-argyle road,21.73076923076923
3-ashford street,35.94551282051282
3-atlantic avenue,212.86779324055667
3-avenue b,98.5
3-avenue d,50.791666666666664
3-avenue f,16.0
3-avenue i,70.62362637362638
3-avenue j,40.84436274509804
3-avenue k,79.0
3-avenue l,73.20091324200914
3-avenue m,49.25907258064516
3-avenue o,37.61089494163424
3-avenue p,125.74450549450549
3-avenue r,58.833333333333336
3-avenue t,37.88297872340426
3-avenue u,126.55465587044534
3-avenue v,16.462237762237763
3-avenue west,53.36904761904762
3-avenue x,37.13607990012484
3-bay 29 street,16.866336633663366
3-bay parkway,186.22766097240472
3-bay ridge avenue,14.245098039215685
3-bay street,40.2275641025641
3-bedford avenue,43.35576923076923
3-belmont avenue,19.098684210526315
3-belt parkway,842.4013911620294
3-belt parkway eb en cropsey avenue sb,130.22483940042827
3-belt parkway eb en pennsylvania avenue,136.9903846153846
